399.592773	-6985.730469	0.004479	-0.009391	3669.744873	5226.323730	
598.369507	-6957.185059	0.013710	-0.028069	3489.625244	5318.595703	
795.916382	-6914.334961	0.027983	-0.055936	3300.014893	5396.399902	
991.811157	-6857.127441	0.047604	-0.092905	3101.276855	5459.274414	
1185.618774	-6785.485840	0.072895	-0.138894	2893.767822	5506.705078	
1376.887329	-6699.309570	0.104205	-0.193822	2677.844482	5538.119141	
1565.143311	-6598.472168	0.141903	-0.257614	2453.869385	5552.875488	
1749.886353	-6482.821777	0.186389	-0.330192	2222.218506	5550.255371	
1930.583496	-6352.179688	0.238092	-0.411474	1983.290039	5529.451172	
2106.662109	-6206.338867	0.297478	-0.501369	1737.515381	5489.549805	
2277.502441	-6045.062500	0.365054	-0.599777	1485.372681	5429.516602	
2442.427490	-5868.083496	0.441371	-0.706576	1227.404419	5348.172852	
2600.692871	-5675.101562	0.527028	-0.821618	964.240723	5244.168945	
2751.472900	-5465.783203	0.622682	-0.944716	696.630493	5115.950684	
2893.844238	-5239.758789	0.729047	-1.075634	425.484375	4961.717285	
3026.765869	-4996.622559	0.846904	-1.214064	151.934753	4779.367188	
3149.054688	-4735.931641	0.977095	-1.359601	-122.578430	4566.428711	
3259.353027	-4457.206055	1.120522	-1.511713	-396.181519	4319.972656	
3356.089355	-4159.933594	1.278131	-1.669689	-666.377563	4036.499756	
3437.427002	-3843.573242	1.450869	-1.832581	-929.752686	3711.798096	
3501.196289	-3507.568848	1.639614	-1.999119	-1181.507202	3340.772705	
3544.807373	-3151.370850	1.845006	-2.167608	-1414.680664	2917.265625	
3565.132080	-2774.473389	2.067140	-2.335824	-1618.827881	2433.949219	
3558.344727	-2376.481445	2.304943	-2.500990	-1777.688110	1882.575684	
3519.706787	-1957.225830	2.554997	-2.660113	-1865.053223	1255.494873	
3443.272217	-1516.965576	2.809501	-2.811644	-1837.944092	551.299744	
3321.485596	-1056.746094	3.054251	-2.961151	-1629.482422	-207.494629	
3144.653564	-579.048096	3.274857	-3.134514	-1164.465820	-934.184082	
2900.305176	-88.975739	3.491120	-3.380220	-453.986145	-1465.275024	
2572.630859	403.550995	3.777747	-3.711423	345.732727	-1711.561401	
2142.738037	879.856934	4.201351	-4.073531	1100.212280	-1731.415283	
1592.020020	1306.197144	4.784357	-4.380951	1765.061768	-1609.868286	
913.905823	1627.315796	5.497557	-4.542786	2338.742920	-1405.098511	
138.193604	1773.072998	6.256100	-4.502308	2831.323730	-1151.607788	
-653.815979	1699.101807	6.963793	-4.276403	3254.093750	-869.746887	
-1369.975586	1429.620728	7.570195	-3.928442	3616.929932	-571.896790	
-1963.421753	1032.442383	8.070154	-3.517695	3927.938232	-265.881439	
-2431.929932	569.614868	8.477798	-3.082551	4193.668945	43.170868	
-2791.977051	81.335419	8.810578	-2.644562	4419.421875	351.785736	
-3062.904297	-409.615936	9.083809	-2.215126	4609.520020	657.538452	
-3261.566650	-890.983643	9.309690	-1.800027	4767.522949	958.690430	
-3401.432861	-1356.367798	9.497667	-1.402013	4896.393066	1253.963135	
